year,awi,cpi_w,gdp_pi,df,taxmax,oasi_tr,di_tr,bp1,bp2,qc_rec,fact1,fact2,fact3,rf1,rf2,drc,nra,ret1,ret2,real_df
1951,2799.16,,,,3600,1.5,0,,,50,,,,0.005555556,0.004166667,0.0025,65,,,
1952,2973.32,,,,3600,1.5,0,,,50,,,,0.005555556,0.004166667,0.0025,65,,,
1953,3139.44,,,,3600,1.5,0,,,50,,,,0.005555556,0.004166667,0.0025,65,,,
1954,3155.64,,,,3600,2,0,,,50,,,,0.005555556,0.004166667,0.0025,65,,,
1955,3301.44,,,,4200,2,0,,,50,,,,0.005555556,0.004166667,0.0025,65,,,
1956,3532.36,,,,4200,2,0,,,50,,,,0.005555556,0.004166667,0.0025,65,,,
1957,3641.72,,,,4200,2,0.25,,,50,,,,0.005555556,0.004166667,0.0025,65,,,
1958,3673.8,,,,4200,2,0.25,,,50,,,,0.005555556,0.004166667,0.0025,65,,,
1959,3855.8,,,,4800,2.25,0.25,,,50,,,,0.005555556,0.004166667,0.0025,65,,,
1960,4007.12,,0.121144976,0.027261987,4800,2.75,0.25,,,50,,,,0.005555556,0.004166667,0.0025,65,,,0.275605837
1961,4086.76,,0.122429113,0.028297942,4800,2.75,0.25,,,50,,,,0.005555556,0.004166667,0.0025,65,,,0.280842348
1962,4291.4,,0.123910505,0.029401562,4800,2.875,0.25,,,50,,,,0.005555556,0.004166667,0.0025,65,,,0.288705934
1963,4396.64,,0.125335476,0.030548223,4800,3.375,0.25,,,50,,,,0.005555556,0.004166667,0.0025,65,,,0.295923583
1964,4576.32,,0.127240575,0.0318007,4800,3.375,0.25,,,50,,,,0.005555556,0.004166667,0.0025,65,,,0.303617596
1965,4658.72,,0.129569078,0.03313633,4800,3.375,0.25,,,50,,,,0.005555556,0.004166667,0.0025,65,,,0.311208036
1966,4938.36,,0.133197012,0.03476001,6600,3.5,0.35,,,50,,,,0.005555556,0.004166667,0.0025,65,,,0.315564948
1967,5213.44,,0.137059725,0.03649801,6600,3.55,0.35,,,50,,,,0.005555556,0.004166667,0.0025,65,,,0.321560682
1968,5571.76,,0.14289847,0.038505401,7800,3.325,0.475,,,50,,,,0.005555556,0.004166667,0.0025,65,,,0.324133168
1969,5893.76,,0.149914785,0.041046757,7800,3.725,0.475,,,50,,,,0.005555556,0.004166667,0.0025,65,,,0.324457301
1970,6186.24,12.38,0.157815294,0.044043171,7800,3.65,0.55,,,50,,,,0.005555556,0.004166667,0.0025,65,,,0.327701874
1971,6497.08,12.92,0.165832311,0.046685761,7800,4.05,0.55,,,50,,,,0.005555556,0.004166667,0.0025,65,,,0.337205228
1972,7133.8,13.36,0.172996266,0.049440221,9000,4.05,0.55,,,50,,,,0.005555556,0.004166667,0.0025,65,,,0.345635359
1973,7580.16,14.19,0.182476462,0.052703275,10800,4.3,0.55,,,50,,,,0.005555556,0.004166667,0.0025,65,,,0.344944088
1974,8030.76,15.74,0.1988446,0.056656021,13200,4.375,0.575,,,50,,,,0.005555556,0.004166667,0.0025,65,,,0.331836213
1975,8630.92,17.17,0.217317264,0.060848566,14100,4.375,0.575,,,50,,,,0.005555556,0.004166667,0.0025,65,,,0.327522342
1976,9226.48,18.16,0.229291445,0.065168815,15300,4.375,0.575,,,50,,,,0.005555556,0.004166667,0.0025,65,,,0.333090222
1977,9779.44,19.33,0.243530444,0.0697958,16500,4.375,0.575,,,50,,,,0.005555556,0.004166667,0.0025,65,,,0.335754943
1978,10556.03,20.82,0.260650634,0.075519056,17700,4.275,0.775,180,1085,250,0.9,0.32,0.15,0.005555556,0.004166667,0.0025,65,,,0.334076169
1979,11479.46,23.2,0.282258572,0.08239129,22900,4.33,0.75,194,1171,260,0.9,0.32,0.15,0.005555556,0.004166667,0.0025,65,,,0.324722036
1980,12513.46,26.31,0.307831198,0.091454332,25900,4.52,0.56,211,1274,290,0.9,0.32,0.15,0.005555556,0.004166667,0.0025,65,,,0.313032043
1981,13773.1,29.01,0.336890463,0.103617758,29700,4.7,0.65,230,1388,310,0.9,0.32,0.15,0.005555556,0.004166667,0.0025,65,,,0.316162363
1982,14531.34,30.76,0.357710294,0.116880831,32400,4.575,0.825,254,1528,340,0.9,0.32,0.15,0.005555556,0.004166667,0.0025,65,,,0.339242216
1983,15239.24,31.68,0.371696766,0.129737723,35700,4.775,0.625,267,1612,370,0.9,0.32,0.15,0.005555556,0.004166667,0.0025,65,,,0.372827195
1984,16135.07,32.79,0.38511502,0.1458252,37800,5.2,0.5,280,1691,390,0.9,0.32,0.15,0.005555556,0.004166667,0.0025,65,,,0.401162062
1985,16822.51,33.93,0.397284654,0.161574322,39600,5.2,0.5,297,1790,410,0.9,0.32,0.15,0.005555556,0.004166667,0.0025,65,5400,7320,0.437266647
1986,17321.82,34.47,0.405349533,0.174500268,42000,5.2,0.5,310,1866,440,0.9,0.32,0.15,0.005555556,0.004166667,0.0025,65,5760,7800,0.477932446
1987,18426.51,35.71,0.415321131,0.18915829,43800,5.2,0.5,319,1922,460,0.9,0.32,0.15,0.005555556,0.004166667,0.002916667,65,6000,8160,0.498961473
1988,19334.04,37.14,0.429981967,0.20580422,45000,5.53,0.53,339,2044,470,0.9,0.32,0.15,0.005555556,0.004166667,0.002916667,65,6120,8400,0.520915778
1989,20099.55,38.91,0.44683726,0.223709187,48000,5.53,0.53,356,2145,500,0.9,0.32,0.15,0.005555556,0.004166667,0.003333333,65,6480,8880,0.541752409
1990,21027.98,40.95,0.463638341,0.242948177,51300,5.6,0.6,370,2230,520,0.9,0.32,0.15,0.005555556,0.004166667,0.003333333,65,6840,9360,0.560171991
