age,verylow,low,medium,high
21,0.07,0.126,0.279,0.447
22,0.086,0.155,0.344,0.55
23,0.11,0.197,0.438,0.701
24,0.131,0.236,0.523,0.838
25,0.147,0.265,0.59,0.943
26,0.162,0.292,0.648,1.037
27,0.176,0.316,0.702,1.124
28,0.188,0.338,0.752,1.203
29,0.199,0.358,0.795,1.272
30,0.209,0.375,0.834,1.335
31,0.217,0.391,0.87,1.392
32,0.225,0.405,0.9,1.44
33,0.232,0.417,0.927,1.483
34,0.238,0.428,0.952,1.522
35,0.243,0.438,0.973,1.557
36,0.248,0.446,0.991,1.586
37,0.252,0.453,1.008,1.612
38,0.255,0.46,1.021,1.634
39,0.259,0.466,1.035,1.656
40,0.261,0.471,1.046,1.673
41,0.264,0.475,1.056,1.69
42,0.266,0.479,1.065,1.704
43,0.268,0.483,1.073,1.716
44,0.27,0.486,1.08,1.727
45,0.271,0.488,1.086,1.737
46,0.273,0.491,1.09,1.745
47,0.273,0.492,1.093,1.749
48,0.274,0.493,1.095,1.751
49,0.274,0.492,1.094,1.751
50,0.274,0.492,1.094,1.751
51,0.273,0.491,1.091,1.746
52,0.271,0.489,1.086,1.737
53,0.27,0.486,1.08,1.727
54,0.268,0.482,1.071,1.714
55,0.265,0.477,1.06,1.695
56,0.26,0.467,1.039,1.662
57,0.254,0.457,1.015,1.623
58,0.247,0.445,0.988,1.582
59,0.24,0.432,0.959,1.535
60,0.23,0.414,0.92,1.472
61,0.217,0.391,0.868,1.389
62,0.21,0.377,0.838,1.341
63,0.202,0.364,0.809,1.295
64,0.195,0.352,0.781,1.25
