"","age","worker","factor"
"1",21,"raw",0.227
"2",21,"very_low",0.069
"3",21,"low",0.125
"4",21,"medium",0.277
"5",21,"high",0.443
"6",21,"max",2.404618308
"7",22,"raw",0.28
"8",22,"very_low",0.085
"9",22,"low",0.154
"10",22,"medium",0.341
"11",22,"high",0.546
"12",22,"max",2.404618308
"13",23,"raw",0.357
"14",23,"very_low",0.109
"15",23,"low",0.196
"16",23,"medium",0.436
"17",23,"high",0.698
"18",23,"max",2.404618308
"19",24,"raw",0.427
"20",24,"very_low",0.13
"21",24,"low",0.235
"22",24,"medium",0.521
"23",24,"high",0.834
"24",24,"max",2.404618308
"25",25,"raw",0.481
"26",25,"very_low",0.147
"27",25,"low",0.264
"28",25,"medium",0.587
"29",25,"high",0.94
"30",25,"max",2.404618308
"31",26,"raw",0.529
"32",26,"very_low",0.161
"33",26,"low",0.29
"34",26,"medium",0.645
"35",26,"high",1.033
"36",26,"max",2.404618308
"37",27,"raw",0.573
"38",27,"very_low",0.175
"39",27,"low",0.315
"40",27,"medium",0.699
"41",27,"high",1.119
"42",27,"max",2.404618308
"43",28,"raw",0.613
"44",28,"very_low",0.187
"45",28,"low",0.337
"46",28,"medium",0.749
"47",28,"high",1.198
"48",28,"max",2.404618308
"49",29,"raw",0.649
"50",29,"very_low",0.198
"51",29,"low",0.356
"52",29,"medium",0.792
"53",29,"high",1.267
"54",29,"max",2.404618308
"55",30,"raw",0.681
"56",30,"very_low",0.208
"57",30,"low",0.374
"58",30,"medium",0.831
"59",30,"high",1.329
"60",30,"max",2.404618308
"61",31,"raw",0.709
"62",31,"very_low",0.216
"63",31,"low",0.39
"64",31,"medium",0.866
"65",31,"high",1.385
"66",31,"max",2.404618308
"67",32,"raw",0.735
"68",32,"very_low",0.224
"69",32,"low",0.404
"70",32,"medium",0.897
"71",32,"high",1.435
"72",32,"max",2.404618308
"73",33,"raw",0.757
"74",33,"very_low",0.231
"75",33,"low",0.416
"76",33,"medium",0.924
"77",33,"high",1.479
"78",33,"max",2.404618308
"79",34,"raw",0.778
"80",34,"very_low",0.237
"81",34,"low",0.427
"82",34,"medium",0.949
"83",34,"high",1.519
"84",34,"max",2.404618308
"85",35,"raw",0.796
"86",35,"very_low",0.243
"87",35,"low",0.437
"88",35,"medium",0.971
"89",35,"high",1.554
"90",35,"max",2.404618308
"91",36,"raw",0.811
"92",36,"very_low",0.247
"93",36,"low",0.445
"94",36,"medium",0.99
"95",36,"high",1.584
"96",36,"max",2.404618308
"97",37,"raw",0.825
"98",37,"very_low",0.252
"99",37,"low",0.453
"100",37,"medium",1.006
"101",37,"high",1.61
"102",37,"max",2.404618308
"103",38,"raw",0.837
"104",38,"very_low",0.255
"105",38,"low",0.46
"106",38,"medium",1.021
"107",38,"high",1.634
"108",38,"max",2.404618308
"109",39,"raw",0.847
"110",39,"very_low",0.258
"111",39,"low",0.465
"112",39,"medium",1.034
