year,awi,cpi_w,gdp_pi,df,taxmax,oasi_tr,di_tr,bp1,bp2,qc_rec,fact1,fact2,fact3,rf1,rf2,drc,nra,ret1,ret2
1951,2799.16,,,,3600,1.5,0,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1952,2973.32,,,,3600,1.5,0,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1953,3139.44,,,,3600,1.5,0,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1954,3155.64,,,,3600,2,0,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1955,3301.44,,,,4200,2,0,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1956,3532.36,,,,4200,2,0,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1957,3641.72,,,,4200,2,0.25,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1958,3673.8,,,,4200,2,0.25,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1959,3855.8,,,,4800,2.25,0.25,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1960,4007.12,,,,4800,2.75,0.25,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1961,4086.76,,,,4800,2.75,0.25,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1962,4291.4,,,,4800,2.875,0.25,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1963,4396.64,,,,4800,3.375,0.25,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1964,4576.32,,,,4800,3.375,0.25,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1965,4658.72,,,,4800,3.375,0.25,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1966,4938.36,,,,6600,3.5,0.35,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1967,5213.44,,,,6600,3.55,0.35,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1968,5571.76,,,,7800,3.325,0.475,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1969,5893.76,,,,7800,3.725,0.475,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1970,6186.24,12.38,0.151508837,0.0341,7800,3.65,0.55,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1971,6497.08,12.92,0.159205486,0.0359,7800,4.05,0.55,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1972,7133.8,13.36,0.166083163,0.0378,9000,4.05,0.55,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1973,7580.16,14.19,0.17518452,0.0399,10800,4.3,0.55,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1974,8030.76,15.74,0.190898571,0.0423,13200,4.375,0.575,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1975,8630.92,17.17,0.208633049,0.045,14100,4.375,0.575,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1976,9226.48,18.16,0.22012873,0.048,15300,4.375,0.575,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1977,9779.44,19.33,0.233798724,0.0513,16500,4.375,0.575,,,50,,,,0.005555556,0.004166667,0.0025,65,,
1978,10556.03,20.82,0.250234774,0.0549,17700,4.275,0.775,180,1085,250,0.9,0.32,0.15,0.005555556,0.004166667,0.0025,65,,
1979,11479.46,23.2,0.270979237,0.0589,22900,4.33,0.75,194,1171,260,0.9,0.32,0.15,0.005555556,0.004166667,0.0025,65,,
1980,12513.46,26.31,0.295529956,0.0637,25900,4.52,0.56,211,1274,290,0.9,0.32,0.15,0.005555556,0.004166667,0.0025,65,,
1981,13773.1,29.01,0.323427984,0.0695,29700,4.7,0.65,230,1388,310,0.9,0.32,0.15,0.005555556,0.004166667,0.0025,65,,
1982,14531.34,30.76,0.343415833,0.0769,32400,4.575,0.825,254,1528,340,0.9,0.32,0.15,0.005555556,0.004166667,0.0025,65,,
1983,15239.24,31.68,0.356843392,0.0853,35700,4.775,0.625,267,1612,370,0.9,0.32,0.15,0.005555556,0.004166667,0.0025,65,,
1984,16135.07,32.79,0.369725439,0.0948,37800,5.2,0.5,280,1691,390,0.9,0.32,0.15,0.005555556,0.004166667,0.0025,65,,
1985,16822.51,33.93,0.381408762,0.1056,39600,5.2,0.5,297,1790,410,0.9,0.32,0.15,0.005555556,0.004166667,0.0025,65,5400,7320
1986,17321.82,34.47,0.38915136,0.1174,42000,5.2,0.5,310,1866,440,0.9,0.32,0.15,0.005555556,0.004166667,0.0025,65,5760,7800
1987,18426.51,35.71,0.398724484,0.1299,43800,5.2,0.5,319,1922,460,0.9,0.32,0.15,0.005555556,0.004166667,0.002916667,65,6000,8160
1988,19334.04,37.14,0.412799458,0.1428,45000,5.53,0.53,339,2044,470,0.9,0.32,0.15,0.005555556,0.004166667,0.002916667,65,6120,8400
1989,20099.55,38.91,0.428981197,0.1566,48000,5.53,0.53,356,2145,500,0.9,0.32,0.15,0.005555556,0.004166667,0.003333333,65,6480,8880
1990,21027.98,40.95,0.44511089,0.1714,51300,5.6,0.6,370,2230,520,0.9,0.32,0.15,0.005555556,0.004166667,0.003333333,65,6840,9360
1991,21811.6,42.63,0.460111127,0.1872,53400,5.6,0.6,387,2333,540,0.9,0.32,0.15,0.005555556,0.004166667,0.00375,65,7080,9720
1992,22935.42,43.87,0.47060166,0.2039,55500,5.6,0.6,401,2420,570,0.9,0.32,0.15,0.005555556,0.004166667,0.00375,65,7440,10200
1993,23132.67,45.1,0.48175492,0.2213,57600,5.6,0.6,422,2545,590,0.9,0.32,0.15,0.005555556,0.004166667,0.004166667,65,7680,10560
1994,23753.53,46.21,0.4920163,0.2394,60600,5.26,0.94,426,2567,620,0.9,0.32,0.15,0.005555556,0.004166667,0.004166667,65,8040,11160
1995,24705.66,47.55,0.502348642,0.2584,61200,5.26,0.94,437,2635,630,0.9,0.32,0.15,0.005555556,0.004166667,0.004583333,65,8160,11280
