year,cola_cap
2025,1945.8
2026,2001.1
2027,2065.2
2028,2134.1
2029,2205
2030,2280.5
2031,2362.5
2032,2441.6
2033,2526.8
2034,2621
2035,2713.85
2036,2810
2037,2912.45
2038,3014
2039,3131.55
2040,3244
2041,3361.05
2042,3485.7
2043,3610.2
2044,3742
2045,3888
2046,4029.3
2047,4186.2
2048,4351.45
2049,4520.85
2050,4706.1
2051,4888.5
2052,5072.3
2053,5263.4
2054,5483.6
2055,5685.7
2056,5901.3
2057,6123.9
2058,6364.4
2059,6610.9
2060,6852.7
2061,7114.5
2062,7368.8
2063,7650.3
2064,7945.6
2065,8227.4
2066,8532.7
2067,8834.8
2068,9149.5
2069,9499.5
2070,9824.9
2071,10159.35
2072,10526.05
2073,10894.5
2074,11275.55
2075,11680.15
2076,12091.4
2077,12544.2
2078,12985.25
2079,13457.8
2080,13918.7
2081,14444.1
2082,14940.2
2083,15472.8
2084,15986.4
2085,16554
2086,17142.25
2087,17710.3
2088,18313.45
2089,18923
2090,19559.2
2091,20245.4
2092,20956.3
2093,21705.7
2094,22490.1
2095,23314.3
2096,24171.6
2097,25000.5
2098,25895.35
2099,26868.7
2100,27820.1
