year,old law contribution base,earnings needed for year of coverage
1951,3600,900
1952,3600,900
1953,3600,900
1954,3600,900
1955,4200,1050
1956,4200,1050
1957,4200,1050
1958,4200,1050
1959,4800,1200
1960,4800,1200
1961,4800,1200
1962,4800,1200
1963,4800,1200
1964,4800,1200
1965,4800,1200
1966,6600,1650
1967,6600,1650
1968,7800,1950
1969,7800,1950
1970,7800,1950
1971,7800,1950
1972,9000,2250
1973,10800,2700
1974,13200,3300
1975,14100,3525
1976,15300,3825
1977,16500,4125
1978,17700,4425
1979,18900,4725
1980,20400,5100
1981,22200,5550
1982,24300,6075
1983,26700,6675
1984,28200,7050
1985,29700,7425
1986,31500,7875
1987,32700,8175
1988,33600,8400
1989,35700,8925
1990,38100,9525
1991,39600,5940
1992,41400,6210
1993,42900,6435
1994,45000,6750
1995,45300,6795
1996,46500,6975
1997,48600,7290
1998,50700,7605
1999,53700,8055
2000,56700,8505
2001,59700,8955
2002,63000,9450
2003,64500,9675
2004,65100,9765
2005,66900,10035
2006,69900,10485
2007,72600,10890
2008,75900,11385
2009,79200,11880
2010,79200,11880
2011,79200,11880
2012,81900,12285
2013,84300,12645
2014,87000,13050
2015,88200,13230
2016,88200,13230
2017,94500,14175
2018,95400,14310
2019,98700,14805
2020,102300,15345
2021,106200,15930
2022,109200,16380
2023,118800,17820
2024,125100,18765
2025,130800,19620
2026,137100,20565
