year,age,male,female,all
1900,0,0.145957,0.119694,0.1328255
1900,1,0.032822,0.030606,0.031714
1900,2,0.016343,0.014885,0.015614
1900,3,0.010519,0.010105,0.010312
1900,4,0.008751,0.008221,0.008486
1900,5,0.006286,0.005851,0.0060685
1900,6,0.004622,0.004284,0.004453
1900,7,0.003262,0.003063,0.0031625
1900,8,0.002561,0.002317,0.002439
1900,9,0.00203,0.001859,0.0019445
1900,10,0.002105,0.002028,0.0020665
1900,11,0.002165,0.001975,0.00207
1900,12,0.002117,0.001947,0.002032
1900,13,0.002393,0.002275,0.002334
1900,14,0.002536,0.002329,0.0024325
1900,15,0.002669,0.002558,0.0026135
1900,16,0.003199,0.003039,0.003119
1900,17,0.003779,0.00364,0.0037095
1900,18,0.009134,0.00785,0.008492
1900,19,0.005308,0.005175,0.0052415
1900,20,0.005073,0.005348,0.0052105
1900,21,0.004373,0.004577,0.004475
1900,22,0.004493,0.004674,0.0045835
1900,23,0.004718,0.004788,0.004753
1900,24,0.004557,0.004711,0.004634
1900,25,0.004619,0.004765,0.004692
1900,26,0.004666,0.004865,0.0047655
1900,27,0.004565,0.004577,0.004571
1900,28,0.004935,0.004717,0.004826
1900,29,0.005041,0.004758,0.0048995
1900,30,0.004911,0.004446,0.0046785
1900,31,0.004963,0.004473,0.004718
1900,32,0.004717,0.004323,0.00452
1900,33,0.004861,0.004259,0.00456
1900,34,0.005213,0.004365,0.004789
1900,35,0.00553,0.00458,0.005055
1900,36,0.006052,0.004935,0.0054935
1900,37,0.006006,0.004822,0.005414
1900,38,0.005553,0.004511,0.005032
1900,39,0.005626,0.004481,0.0050535
1900,40,0.005951,0.004596,0.0052735
1900,41,0.006272,0.00469,0.005481
1900,42,0.006538,0.004763,0.0056505
1900,43,0.007011,0.005031,0.006021
1900,44,0.00721,0.005052,0.006131
1900,45,0.00775,0.005256,0.006503
1900,46,0.00795,0.005389,0.0066695
1900,47,0.00869,0.00575,0.00722
1900,48,0.009475,0.005914,0.0076945
1900,49,0.010195,0.006282,0.0082385
1900,50,0.010936,0.006564,0.00875
1900,51,0.012109,0.007273,0.009691
1900,52,0.013129,0.007646,0.0103875
1900,53,0.0141,0.008052,0.011076
1900,54,0.014461,0.008066,0.0112635
1900,55,0.015557,0.008371,0.011964
1900,56,0.016982,0.00914,0.013061
1900,57,0.018588,0.009898,0.014243
1900,58,0.019844,0.010381,0.0151125
1900,59,0.021579,0.011077,0.016328
1900,60,0.02392,0.012372,0.018146
1900,61,0.025619,0.013309,0.019464
1900,62,0.028126,0.014744,0.021435
1900,63,0.03112,0.016061,0.0235905
1900,64,0.03302,0.016735,0.0248775
1900,65,0.035537,0.017936,0.0267365
1900,66,0.038274,0.01949,0.028882
1900,67,0.039861,0.020807,0.030334
1900,68,0.043763,0.021845,0.032804
1900,69,0.046012,0.023165,0.0345885
1900,70,0.04896,0.025213,0.0370865
1900,71,0.05273,0.027498,0.040114
1900,72,0.057386,0.030166,0.043776
1900,73,0.060479,0.032285,0.046382
1900,74,0.062741,0.034306,0.0485235
1900,75,0.066163,0.036464,0.0513135
1900,76,0.070731,0.039383,0.055057
1900,77,0.074966,0.042271,0.0586185
1900,78,0.079941,0.046258,0.0630995
1900,79,0.083925,0.04964,0.0667825
1900,80,0.092187,0.056351,0.074269
1900,81,0.09771,0.060251,0.0789805
1900,82,0.102617,0.064726,0.0836715
1900,83,0.113823,0.072936,0.0933795
1900,84,0.120722,0.079975,0.1003485
1900,85,0.131657,0.089105,0.110381
1900,86,0.140239,0.096671,0.118455
1900,87,0.15043,0.106585,0.1285075
1900,88,0.166528,0.120216,0.143372
1900,89,0.174099,0.12759,0.1508445
1900,90,0.184977,0.137017,0.160997
1900,91,0.19683,0.148746,0.172788
1900,92,0.212948,0.160437,0.1866925
1900,93,0.236127,0.185471,0.210799
1900,94,0.253122,0.199552,0.226337
1900,95,0.271968,0.219761,0.2458645
1900,96,0.289423,0.233134,0.2612785
1900,97,0.309241,0.255924,0.2825825
1900,98,0.327659,0.275763,0.301711
1900,99,0.353745,0.303046,0.3283955
1900,100,0.377405,0.323702,0.3505535
1900,101,0.395,0.345312,0.370156
1900,102,0.416758,0.36924,0.392999
1900,103,0.425117,0.387879,0.406498
1900,104,0.449412,0.395503,0.4224575
1900,105,0.485485,0.428745,0.457115
1900,106,0.509396,0.473538,0.491467
1900,107,0.543383,0.488598,0.5159905
1900,108,0.590511,0.54014,0.5653255
1900,109,0.590714,0.541124,0.565919
1900,110,0.628136,0.604863,0.6164995
1900,111,0.671799,0.637247,0.654523
1900,112,0.666023,0.655798,0.6609105
1900,113,0.73381,0.69262,0.713215
1900,114,0.710892,0.710892,0.710892
1900,115,0.847269,0.797402,0.8223355
1900,116,0.859885,0.84021,0.8500475
1900,117,0.906421,0.890269,0.898345
1900,118,0.927427,0.927427,0.927427
1900,119,0.93576,0.93576,0.93576
1901,0,0.12802,0.104258,0.116139
1901,1,0.031764,0.030162,0.030963
1901,2,0.015185,0.013924,0.0145545
1901,3,0.010957,0.010301,0.010629
1901,4,0.008311,0.007659,0.007985
1901,5,0.006382,0.005988,0.006185
1901,6,0.004395,0.004141,0.004268
1901,7,0.003236,0.002928,0.003082
1901,8,0.002295,0.002114,0.0022045
1901,9,0.002128,0.002015,0.0020715
1901,10,0.002039,0.001842,0.0019405
1901,11,0.001952,0.001765,0.0018585
1901,12,0.002194,0.002106,0.00215
1901,13,0.002342,0.002125,0.0022335
1901,14,0.002421,0.002279,0.00235
1901,15,0.00284,0.00266,0.00275
1901,16,0.003367,0.003252,0.0033095
1901,17,0.008226,0.006855,0.0075405
1901,18,0.004979,0.004701,0.00484
1901,19,0.004784,0.004825,0.0048045
1901,20,0.004097,0.004234,0.0041655
1901,21,0.004314,0.004455,0.0043845
1901,22,0.00464,0.004703,0.0046715
1901,23,0.004568,0.004736,0.004652
1901,24,0.004603,0.004752,0.0046775
1901,25,0.004631,0.004795,0.004713
1901,26,0.004508,0.004548,0.004528
1901,27,0.004893,0.004691,0.004792
1901,28,0.004978,0.004707,0.0048425
1901,29,0.004755,0.004366,0.0045605
1901,30,0.004754,0.004329,0.0045415
1901,31,0.004517,0.004186,0.0043515
1901,32,0.004635,0.004098,0.0043665
1901,33,0.004951,0.00417,0.0045605
1901,34,0.005151,0.004314,0.0047325
1901,35,0.005669,0.004648,0.0051585
1901,36,0.005674,0.004594,0.005134
1901,37,0.005226,0.004307,0.0047665
1901,38,0.005274,0.004293,0.0047835
1901,39,0.005523,0.00431,0.0049165
1901,40,0.005823,0.00436,0.0050915
1901,41,0.006074,0.004468,0.005271
1901,42,0.006518,0.004737,0.0056275
1901,43,0.006721,0.004814,0.0057675
1901,44,0.007202,0.004906,0.006054
1901,45,0.007308,0.004995,0.0061515
1901,46,0.007948,0.005308,0.006628
1901,47,0.008587,0.005461,0.007024
1901,48,0.009364,0.005877,0.0076205
1901,49,0.00999,0.006064,0.008027
1901,50,0.010986,0.006618,0.008802
1901,51,0.012002,0.007052,0.009527
1901,52,0.01298,0.007511,0.0102455
1901,53,0.01344,0.007651,0.0105455
1901,54,0.014391,0.007785,0.011088
1901,55,0.015591,0.008373,0.011982
1901,56,0.017119,0.009145,0.013132
1901,57,0.01821,0.009551,0.0138805
1901,58,0.019819,0.010183,0.015001
1901,59,0.021796,0.011139,0.0164675
1901,60,0.023387,0.011964,0.0176755
1901,61,0.025835,0.013457,0.019646
1901,62,0.028794,0.014923,0.0218585
1901,63,0.030983,0.015669,0.023326
1901,64,0.033247,0.016561,0.024904
1901,65,0.035664,0.017795,0.0267295
1901,66,0.037142,0.019067,0.0281045
1901,67,0.04065,0.019839,0.0302445
1901,68,0.042582,0.021038,0.03181
1901,69,0.04557,0.02287,0.03422
1901,70,0.048925,0.025001,0.036963
1901,71,0.052999,0.027379,0.040189
1901,72,0.056123,0.029267,0.042695
1901,73,0.058337,0.031096,0.0447165
1901,74,0.061548,0.033005,0.0472765
1901,75,0.06536,0.035547,0.0504535
1901,76,0.069453,0.038146,0.0537995
1901,77,0.074346,0.04184,0.058093
1901,78,0.077807,0.044915,0.061361
1901,79,0.085614,0.050754,0.068184
1901,80,0.090475,0.05435,0.0724125
1901,81,0.095174,0.058485,0.0768295
1901,82,0.105589,0.065939,0.085764
1901,83,0.112025,0.072172,0.0920985
1901,84,0.122524,0.080505,0.1015145
1901,85,0.130186,0.087617,0.1089015
1901,86,0.13998,0.096367,0.1181735
1901,87,0.154135,0.108431,0.131283
1901,88,0.161125,0.115384,0.1382545
1901,89,0.171543,0.124213,0.147878
1901,90,0.182903,0.135386,0.1591445
1901,91,0.196505,0.145801,0.171153
1901,92,0.218781,0.168279,0.19353
1901,93,0.23607,0.183466,0.209768
1901,94,0.255396,0.202807,0.2291015
1901,95,0.272385,0.217083,0.244734
1901,96,0.291997,0.238906,0.2654515
1901,97,0.310591,0.258737,0.284664
1901,98,0.3369,0.285893,0.3113965
1901,99,0.359433,0.305379,0.332406
1901,100,0.37619,0.325766,0.350978
1901,101,0.396912,0.34834,0.372626
1901,102,0.404873,0.365924,0.3853985
1901,103,0.428012,0.373116,0.400564
1901,104,0.462366,0.404477,0.4334215
1901,105,0.48514,0.446734,0.465937
1901,106,0.517507,0.460941,0.489224
1901,107,0.562391,0.509566,0.5359785
1901,108,0.562585,0.510494,0.5365395
1901,109,0.598225,0.570625,0.584425
1901,110,0.639809,0.601176,0.6204925
1901,111,0.634308,0.618677,0.6264925
1901,112,0.698867,0.653415,0.676141
1901,113,0.67704,0.67704,0.67704
1901,114,0.806923,0.752266,0.7795945
1901,115,0.818938,0.792651,0.8057945
1901,116,0.863258,0.839876,0.851567
1901,117,0.883264,0.883264,0.883264
1901,118,0.8912,0.8912,0.8912
1901,119,1,1,1
1902,0,0.125569,0.102616,0.1140925
1902,1,0.029479,0.028193,0.028836
1902,2,0.015823,0.014194,0.0150085
1902,3,0.010404,0.009595,0.0099995
1902,4,0.008652,0.008191,0.0084215
1902,5,0.005992,0.005654,0.005823
1902,6,0.004308,0.003942,0.004125
1902,7,0.002937,0.002724,0.0028305
1902,8,0.002446,0.002285,0.0023655
1902,9,0.002066,0.001857,0.0019615
1902,10,0.001859,0.001651,0.001755
1902,11,0.00205,0.001935,0.0019925
1902,12,0.002182,0.001959,0.0020705
1902,13,0.002227,0.002058,0.0021425
1902,14,0.002564,0.002355,0.0024595
1902,15,0.002985,0.00287,0.0029275
1902,16,0.007168,0.005996,0.006582
1902,17,0.004578,0.004213,0.0043955
1902,18,0.004512,0.004338,0.004425
1902,19,0.003811,0.003873,0.003842
1902,20,0.004046,0.004138,0.004092
1902,21,0.00444,0.004496,0.004468
1902,22,0.004496,0.004655,0.0045755
1902,23,0.004576,0.004723,0.0046495
1902,24,0.004615,0.004724,0.0046695
1902,25,0.004425,0.004488,0.0044565
1902,26,0.004826,0.004662,0.004744
1902,27,0.004915,0.004658,0.0047865
1902,28,0.004614,0.004288,0.004451
1902,29,0.004545,0.004178,0.0043615
1902,30,0.004341,0.004063,0.004202
1902,31,0.004443,0.003977,0.00421
1902,32,0.004719,0.004011,0.004365
1902,33,0.004824,0.004087,0.0044555
1902,34,0.005297,0.00435,0.0048235
1902,35,0.005354,0.004352,0.004853
1902,36,0.004918,0.004083,0.0045005
1902,37,0.004956,0.004102,0.004529
1902,38,0.005142,0.004054,0.004598
1902,39,0.005415,0.004044,0.0047295
1902,40,0.005664,0.004175,0.0049195
1902,41,0.006052,0.004448,0.00525
1902,42,0.006269,0.004572,0.0054205
1902,43,0.006705,0.004587,0.005646
1902,44,0.006735,0.004632,0.0056835
1902,45,0.007329,0.004902,0.0061155
1902,46,0.007841,0.005055,0.006448
1902,47,0.008581,0.005476,0.0070285
1902,48,0.009116,0.005614,0.007365
1902,49,0.009908,0.005979,0.0079435
1902,50,0.01092,0.00643,0.008675
1902,51,0.011868,0.006912,0.00939
1902,52,0.012424,0.007188,0.009806
1902,53,0.013304,0.007262,0.010283
1902,54,0.014294,0.007664,0.010979
1902,55,0.01582,0.008447,0.0121335
1902,56,0.016806,0.008821,0.0128135
1902,57,0.018222,0.009376,0.013799
1902,58,0.01985,0.010062,0.014956
1902,59,0.021214,0.010668,0.015941
1902,60,0.023616,0.012114,0.017865
1902,61,0.026481,0.013647,0.020064
1902,62,0.028861,0.014553,0.021707
1902,63,0.031132,0.015378,0.023255
1902,64,0.033275,0.016292,0.0247835
1902,65,0.034662,0.017374,0.026018
1902,66,0.037919,0.018072,0.0279955
1902,67,0.039344,0.019044,0.029194
1902,68,0.042233,0.020668,0.0314505
1902,69,0.0453,0.022617,0.0339585
1902,70,0.048888,0.02486,0.036874
1902,71,0.052119,0.026442,0.0392805
1902,72,0.054099,0.028095,0.041097
1902,73,0.057032,0.029799,0.0434155
1902,74,0.060386,0.032102,0.046244
1902,75,0.064271,0.034422,0.0493465
1902,76,0.069033,0.037878,0.0534555
1902,77,0.072082,0.04053,0.056306
1902,78,0.079478,0.045791,0.0626345
1902,79,0.083723,0.048983,0.066353
1902,80,0.088245,0.052837,0.070541
1902,81,0.097797,0.059583,0.07869
1902,82,0.104109,0.06502,0.0845645
1902,83,0.113895,0.072517,0.093206
1902,84,0.120918,0.079317,0.1001175
1902,85,0.129729,0.086892,0.1083105
1902,86,0.142953,0.097656,0.1203045
1902,87,0.149023,0.104106,0.1265645
1902,88,0.158852,0.112529,0.1356905
1902,89,0.169817,0.122971,0.146394
1902,90,0.182056,0.132361,0.1572085
1902,91,0.202992,0.152702,0.177847
1902,92,0.219939,0.167697,0.193818
1902,93,0.238999,0.186146,0.2125725
1902,94,0.255345,0.201267,0.228306
1902,95,0.27454,0.221856,0.248198
1902,96,0.293037,0.241448,0.2672425
1902,97,0.319365,0.268186,0.2937755
1902,98,0.342317,0.288094,0.3152055
1902,99,0.358277,0.307327,0.332802
1902,100,0.378012,0.328622,0.353317
1902,101,0.385593,0.345211,0.365402
1902,102,0.40763,0.351997,0.3798135
1902,103,0.440349,0.381582,0.4109655
1902,104,0.462038,0.421447,0.4417425
1902,105,0.492864,0.43485,0.463857
1902,106,0.535611,0.480722,0.5081665
1902,107,0.535795,0.481598,0.5086965
1902,108,0.569738,0.538326,0.554032
1902,109,0.609342,0.567148,0.588245
1902,110,0.604103,0.583658,0.5938805
1902,111,0.665588,0.616429,0.6410085
1902,112,0.6448,0.6448,0.6448
1902,113,0.768498,0.709685,0.7390915
1902,114,0.779941,0.747784,0.7638625
1902,115,0.822151,0.792336,0.8072435
1902,116,0.841204,0.841204,0.841204
1902,117,0.848762,0.848762,0.848762
1902,118,1,1,1
1902,119,1,1,1
1903,0,0.120313,0.098039,0.109176
1903,1,0.030739,0.028747,0.029743
1903,2,0.015017,0.013218,0.0141175
1903,3,0.010833,0.010263,0.010548
1903,4,0.008051,0.007599,0.007825
1903,5,0.005789,0.005369,0.005579
1903,6,0.004,0.003731,0.0038655
1903,7,0.003142,0.002921,0.0030315
1903,8,0.002328,0.002101,0.0022145
1903,9,0.001913,0.001679,0.001796
1903,10,0.002007,0.001824,0.0019155
1903,11,0.002053,0.001831,0.001942
1903,12,0.002063,0.001865,0.001964
1903,13,0.002356,0.002119,0.0022375
1903,14,0.002673,0.002552,0.0026125
1903,15,0.006043,0.00527,0.0056565
1903,16,0.004089,0.003718,0.0039035
1903,17,0.004179,0.003857,0.004018
1903,18,0.003553,0.003543,0.003548
1903,19,0.003774,0.003811,0.0037925
1903,20,0.004149,0.004197,0.004173
1903,21,0.00431,0.004431,0.0043705
1903,22,0.004478,0.004609,0.0045435
1903,23,0.004587,0.004646,0.0046165
1903,24,0.004352,0.004431,0.0043915
1903,25,0.004734,0.004622,0.004678
1903,26,0.00484,0.004608,0.004724
1903,27,0.004506,0.004218,0.004362
1903,28,0.004357,0.004039,0.004198
1903,29,0.004172,0.003941,0.0040565
1903,30,0.00428,0.003886,0.004083
1903,31,0.004522,0.003901,0.0042115
1903,32,0.004562,0.003911,0.0042365
1903,33,0.00497,0.004093,0.0045315
1903,34,0.005056,0.004112,0.004584
1903,35,0.00463,0.00385,0.00424
1903,36,0.004667,0.003894,0.0042805
1903,37,0.004807,0.003826,0.0043165
1903,38,0.005049,0.003764,0.0044065
1903,39,0.005301,0.0039,0.0046005
1903,40,0.005616,0.004168,0.004892
1903,41,0.005835,0.004303,0.005069
1903,42,0.006256,0.004301,0.0052785
1903,43,0.006207,0.004302,0.0052545
1903,44,0.00679,0.004527,0.0056585
1903,45,0.007213,0.004689,0.005951
1903,46,0.007834,0.005062,0.006448
1903,47,0.008315,0.005196,0.0067555
1903,48,0.008919,0.005414,0.0071665
1903,49,0.009894,0.005827,0.0078605
1903,50,0.010782,0.006283,0.0085325
1903,51,0.011374,0.006628,0.009001
1903,52,0.012246,0.006743,0.0094945
1903,53,0.013093,0.007037,0.010065
1903,54,0.014657,0.007826,0.0112415
1903,55,0.015588,0.008175,0.0118815
1903,56,0.016802,0.008648,0.012725
1903,57,0.018142,0.009142,0.013642
1903,58,0.019211,0.009539,0.014375
1903,59,0.021471,0.010822,0.0161465
1903,60,0.024219,0.0123,0.0182595
1903,61,0.026558,0.013296,0.019927
1903,62,0.02895,0.014201,0.0215755
1903,63,0.031066,0.014992,0.023029
1903,64,0.032427,0.015849,0.024138
1903,65,0.035754,0.016749,0.0262515
1903,66,0.036617,0.017325,0.026971
1903,67,0.039215,0.01874,0.0289775
1903,68,0.041972,0.02046,0.031216
1903,69,0.045282,0.022595,0.0339385
1903,70,0.048394,0.023932,0.036163
1903,71,0.050127,0.025388,0.0377575
1903,72,0.052786,0.026997,0.0398915
1903,73,0.055965,0.029105,0.042535
1903,74,0.059596,0.031222,0.045409
1903,75,0.06407,0.034359,0.0492145
1903,76,0.066914,0.036648,0.051781
1903,77,0.073802,0.041536,0.057669
1903,78,0.077641,0.044307,0.060974
1903,79,0.082049,0.047888,0.0649685
1903,80,0.090627,0.053852,0.0722395
1903,81,0.096683,0.058735,0.077709
1903,82,0.105632,0.065394,0.085513
1903,83,0.112411,0.07185,0.0921305
1903,84,0.120053,0.078417,0.099235
1903,85,0.132389,0.088072,0.1102305
1903,86,0.137743,0.09387,0.1158065
1903,87,0.147006,0.102012,0.124509
1903,88,0.157371,0.111429,0.1344
1903,89,0.168939,0.120308,0.1446235
1903,90,0.18885,0.139064,0.163957
1903,91,0.204175,0.152642,0.1784085
1903,92,0.221905,0.169582,0.1957435
1903,93,0.238436,0.185803,0.2121195
1903,94,0.257033,0.204954,0.2309935
1903,95,0.275189,0.224101,0.249645
1903,96,0.30134,0.250161,0.2757505
1903,97,0.324204,0.270272,0.297238
1903,98,0.341216,0.289931,0.3155735
1903,99,0.360011,0.310021,0.335016
1903,100,0.367232,0.325671,0.3464515
1903,101,0.388219,0.332072,0.3601455
1903,102,0.41938,0.359983,0.3896815
1903,103,0.440036,0.397591,0.4188135
1903,104,0.469394,0.410236,0.439815
1903,105,0.510105,0.453512,0.4818085
1903,106,0.510281,0.454338,0.4823095
1903,107,0.542608,0.507855,0.5252315
1903,108,0.580325,0.535045,0.557685
1903,109,0.575336,0.55062,0.562978
1903,110,0.633893,0.581537,0.607715
1903,111,0.614096,0.610712,0.612404
1903,112,0.731903,0.669514,0.7007085
1903,113,0.742801,0.705457,0.724129
1903,114,0.783001,0.747487,0.765244
1903,115,0.801147,0.801147,0.801147
1903,116,0.808345,0.808097,0.808221
