id,worker_type,spouse_type,birth_yr,claim_age,year,age,earnings,nominal_ben,real_ben,death_age
R-very_low-1950-44-65,very_low,none,1950,65,2015,65,0,8508,11419.493394069465,150
R-very_low-1950-44-65,very_low,none,1950,65,2016,66,0,8508,11310.908671725225,150
R-very_low-1950-44-65,very_low,none,1950,65,2017,67,0,8532,11140.06612535611,150
R-very_low-1950-44-65,very_low,none,1950,65,2018,68,0,8700,11105.113354645864,150
R-very_low-1950-44-65,very_low,none,1950,65,2019,69,0,8952,11241.297298414509,150
R-very_low-1950-44-65,very_low,none,1950,65,2020,70,0,9084,11256.220339241467,150
R-very_low-1950-44-65,very_low,none,1950,65,2021,71,0,9204,10908.575276573774,150
R-very_low-1950-44-65,very_low,none,1950,65,2022,72,0,9744,10778.964862979032,150
R-very_low-1950-44-65,very_low,none,1950,65,2023,73,0,10596,11316.335735777368,150
R-very_low-1950-44-65,very_low,none,1950,65,2024,74,0,10932,11400.427341759056,150
R-very_low-1950-44-65,very_low,none,1950,65,2025,75,0,11208,11440.005599999999,150
R-very_low-1950-44-65,very_low,none,1950,65,2026,76,0,11508,11508,150
R-very_low-1950-44-65,very_low,none,1950,65,2027,77,0,11796,11559.039686428221,150
R-very_low-1950-44-65,very_low,none,1950,65,2028,78,0,12084,11603.384898641458,150
R-very_low-1950-44-65,very_low,none,1950,65,2029,79,0,12372,11641.283994248317,150
R-very_low-1950-44-65,very_low,none,1950,65,2030,80,0,12672,11684.042501905968,150
R-very_low-1950-44-65,very_low,none,1950,65,2031,81,0,12972,11720.385456890128,150
R-very_low-1950-44-65,very_low,none,1950,65,2032,82,0,13284,11761.177722513252,150
R-very_low-1950-44-65,very_low,none,1950,65,2033,83,0,13596,11795.601515845054,150
R-very_low-1950-44-65,very_low,none,1950,65,2034,84,0,13932,11844.299850356649,150
R-very_low-1950-44-65,very_low,none,1950,65,2035,85,0,14256,11876.284845533884,150
R-very_low-1950-44-65,very_low,none,1950,65,2036,86,0,14604,11921.797307984085,150
