worker_type,spouse_type,birth_yr,claim_age,age,year,marginal_irr_scheduled,marginal_irr_payable
high,high,1930,65,21,1951,NA,NA
high,high,1930,65,22,1952,NA,NA
high,high,1930,65,23,1953,NA,NA
high,high,1930,65,24,1954,NA,NA
high,high,1930,65,25,1955,NA,NA
high,high,1930,65,26,1956,NA,NA
high,high,1930,65,27,1957,NA,NA
high,high,1930,65,28,1958,NA,NA
high,high,1930,65,29,1959,NA,NA
high,high,1930,65,30,1960,NA,NA
high,high,1930,65,31,1961,NA,NA
high,high,1930,65,32,1962,-0.15360291261257097,-0.15360291261257097
high,high,1930,65,33,1963,NA,NA
high,high,1930,65,34,1964,NA,NA
high,high,1930,65,35,1965,-0.1278324508592179,-0.1278324508592179
high,high,1930,65,36,1966,-0.19057278069675587,-0.19057278069675587
high,high,1930,65,37,1967,-0.15209638823985172,-0.15209638823985172
high,high,1930,65,38,1968,0.021251277401638458,0.021251277401638458
high,high,1930,65,39,1969,0.02349873773574407,0.02349873773574407
high,high,1930,65,40,1970,0.024907782334368855,0.024907782334368855
high,high,1930,65,41,1971,0.022245298322217,0.022245298322217
high,high,1930,65,42,1972,0.020667084858414064,0.020667084858414064
high,high,1930,65,43,1973,0.01845235038287818,0.01845235038287818
high,high,1930,65,44,1974,0.019657413647524713,0.019657413647524713
high,high,1930,65,45,1975,0.022429219908648435,0.022429219908648435
high,high,1930,65,46,1976,0.022319251699615128,0.022319251699615128
high,high,1930,65,47,1977,0.02421740256738003,0.02421740256738003
high,high,1930,65,48,1978,0.02348241003157625,0.02348241003157625
high,high,1930,65,49,1979,0.023739389133812017,0.023739389133812017
high,high,1930,65,50,1980,0.026098879189498714,0.026098879189498714
high,high,1930,65,51,1981,0.023329510834265266,0.023329510834265266
high,high,1930,65,52,1982,0.025293158099524815,0.025293158099524815
high,high,1930,65,53,1983,0.027420110364337447,0.027420110364337447
high,high,1930,65,54,1984,0.02248484308633092,0.02248484308633092
high,high,1930,65,55,1985,0.022184753640273502,0.022184753640273502
high,high,1930,65,56,1986,-0.017789761707977303,-0.017789761707977303
high,high,1930,65,57,1987,-0.11531148885711984,-0.11531148885711984
high,high,1930,65,58,1988,-0.16304691869623,-0.16304691869623
high,high,1930,65,59,1989,-0.21465068583768265,-0.21465068583768265
high,high,1930,65,60,1990,-0.2919589694015947,-0.2919589694015947
high,high,1930,65,61,1991,-0.3621555454207147,-0.3621555454207147
high,high,1930,65,62,1992,-0.4624540222476964,-0.4624540222476964
high,high,1930,65,63,1993,-0.6240381340621031,-0.6240381340621031
high,high,1930,65,64,1994,-0.8628415668840582,-0.8628415668840582
high,high,1935,65,21,1956,NA,NA
high,high,1935,65,22,1957,NA,NA
high,high,1935,65,23,1958,NA,NA
high,high,1935,65,24,1959,NA,NA
high,high,1935,65,25,1960,NA,NA
high,high,1935,65,26,1961,NA,NA
high,high,1935,65,27,1962,NA,NA
high,high,1935,65,28,1963,NA,NA
high,high,1935,65,29,1964,NA,NA
high,high,1935,65,30,1965,NA,NA
high,high,1935,65,31,1966,-0.13792212434229023,-0.13792212434229023
high,high,1935,65,32,1967,NA,NA
high,high,1935,65,33,1968,NA,NA
high,high,1935,65,34,1969,NA,NA
high,high,1935,65,35,1970,-0.16449502781048797,-0.16449502781048797
high,high,1935,65,36,1971,NA,NA
high,high,1935,65,37,1972,-0.19948146924781351,-0.19948146924781351
high,high,1935,65,38,1973,0.012577172573234874,0.012577172573234874
high,high,1935,65,39,1974,0.02450291952772443,0.02450291952772443
high,high,1935,65,40,1975,0.026376132441315647,0.026376132441315647
high,high,1935,65,41,1976,0.026580454339837578,0.026580454339837578
high,high,1935,65,42,1977,0.028044539272030544,0.028044539272030544
high,high,1935,65,43,1978,0.027618992017958366,0.027618992017958366
high,high,1935,65,44,1979,0.02885527521840725,0.02885527521840725
high,high,1935,65,45,1980,0.029855252268043087,0.029855252268043087
high,high,1935,65,46,1981,0.02855398026014222,0.02855398026014222
high,high,1935,65,47,1982,0.030673509074050864,0.030673509074050864
high,high,1935,65,48,1983,0.031454814562030586,0.031454814562030586
high,high,1935,65,49,1984,0.028466747160748263,0.028466747160748263
high,high,1935,65,50,1985,0.02975062934218431,0.02975062934218431
high,high,1935,65,51,1986,0.03080548689630147,0.03080548689630147
high,high,1935,65,52,1987,0.03080267786082036,0.03080267786082036
high,high,1935,65,53,1988,0.027072732523007792,0.027072732523007792
high,high,1935,65,54,1989,0.026426778700390896,0.026426778700390896
high,high,1935,65,55,1990,-0.04596387610052166,-0.04596387610052166
high,high,1935,65,56,1991,-0.08347900728257818,-0.08347900728257818
high,high,1935,65,57,1992,-0.10673163239535655,-0.10673163239535655
high,high,1935,65,58,1993,-0.14542197913733157,-0.14542197913733157
high,high,1935,65,59,1994,-0.18847181033187554,-0.18847181033187554
high,high,1935,65,60,1995,-0.2636597634007408,-0.2636597634007408
high,high,1935,65,61,1996,-0.34243384992527914,-0.34243384992527914
high,high,1935,65,62,1997,-0.43056971579939674,-0.43056971579939674
high,high,1935,65,63,1998,-0.5468640720436058,-0.5468640720436058
high,high,1935,65,64,1999,-0.8148741931770257,-0.8148741931770257
high,high,1940,65,21,1961,NA,NA
high,high,1940,65,22,1962,NA,NA
high,high,1940,65,23,1963,NA,NA
high,high,1940,65,24,1964,NA,NA
high,high,1940,65,25,1965,NA,NA
high,high,1940,65,26,1966,NA,NA
high,high,1940,65,27,1967,NA,NA
high,high,1940,65,28,1968,NA,NA
high,high,1940,65,29,1969,NA,NA
high,high,1940,65,30,1970,-0.025107966460927722,-0.025107966460927722
high,high,1940,65,31,1971,-0.11348489580689025,-0.11348489580689025
high,high,1940,65,32,1972,-0.1127030764075515,-0.1127030764075515
high,high,1940,65,33,1973,-0.11197686920760463,-0.11197686920760463
high,high,1940,65,34,1974,-0.10758469177063101,-0.10758469177063101
high,high,1940,65,35,1975,-0.13396384608596013,-0.13396384608596013
high,high,1940,65,36,1976,-0.12138670360839698,-0.12138670360839698
high,high,1940,65,37,1977,0.013580475750776255,0.013580475750776255
high,high,1940,65,38,1978,0.03001589074054123,0.03001589074054123
high,high,1940,65,39,1979,0.03062621227362805,0.03062621227362805
high,high,1940,65,40,1980,0.03198067856724518,0.03198067856724518
high,high,1940,65,41,1981,0.03060817445365749,0.03060817445365749
high,high,1940,65,42,1982,0.031912930053437094,0.031912930053437094
high,high,1940,65,43,1983,0.03347687905942287,0.03347687905942287
high,high,1940,65,44,1984,0.030760386774667303,0.030760386774667303
high,high,1940,65,45,1985,0.03211999555396772,0.03211999555396772
high,high,1940,65,46,1986,0.03262374534311485,0.03262374534311485
high,high,1940,65,47,1987,0.03304097606172607,0.03304097606172607
high,high,1940,65,48,1988,0.030299594407259267,0.030299594407259267
high,high,1940,65,49,1989,0.03218059454446953,0.03218059454446953
high,high,1940,65,50,1990,0.03239454211864845,0.03239454211864845
high,high,1940,65,51,1991,0.034491702053171425,0.034491702053171425
high,high,1940,65,52,1992,0.03498093328075913,0.03498093328075913
high,high,1940,65,53,1993,0.028351087175087164,0.028351087175087164
