worker_type,spouse_type,birth_yr,claim_age,age,year,earnings,tax,pv_ben_through_t,delta_pv_ben,net_tax
high,high,1930,65,21,1951,1240.02788,37.20083639999999,584831.9869707287,0,0.03
high,high,1930,65,22,1952,1623.4327200000002,48.70298160000001,584831.9869707287,0,0.03
high,high,1930,65,23,1953,2191.32912,65.7398736,584831.9869707287,0,0.03
high,high,1930,65,24,1954,2631.80376,105.2721504,584831.9869707287,0,0.03999999999999999
high,high,1930,65,25,1955,3103.3536,124.134144,584831.9869707287,0,0.04000000000000001
high,high,1930,65,26,1956,3648.92788,145.9571152,584831.9869707287,0,0.04
high,high,1930,65,27,1957,4075.08468,183.3788106,584831.9869707287,0,0.045
high,high,1930,65,28,1958,4401.2124,189,584831.9869707287,0,0.04294271278523163
high,high,1930,65,29,1959,4885.2986,240,584831.9869707287,0,0.0491269868335172
high,high,1930,65,30,1960,5325.46248,288,584727.3312370334,-104.65573369537015,0.05488356424008663
high,high,1930,65,31,1961,5660.162600000001,288,584726.3937372001,-0.9374998332932593,0.05088896214239187
high,high,1930,65,32,1962,6158.159,300,584736.4711507863,10.077413586201146,0.04864367615679738
high,high,1930,65,33,1963,6502.6305600000005,348,584721.6792198853,-14.79193090100307,0.05362105456385353
high,high,1930,65,34,1964,6951.430079999999,348,584664.4007458455,-57.27847403974738,0.05045475127996024
high,high,1930,65,35,1965,7239.650880000001,348,584709.7384403751,45.337694529560395,0.0477572968517036
high,high,1930,65,36,1966,7822.36224,508.2,584718.21182079,8.473380414885469,0.06491109876084031
high,high,1930,65,37,1967,8393.6384,514.8,584756.0381067238,37.82628593384288,0.06108540439916245
high,high,1930,65,38,1968,9104.25584,592.8000000000001,592234.6734278811,7478.635321157286,0.01765985812714823
high,high,1930,65,39,1969,9748.27904,655.2,600404.1789942598,8169.505566378706,0.01560509668148582
high,high,1930,65,40,1970,10349.57952,655.2,608250.9081361049,7846.729141845135,0.01321075074265048
high,high,1930,65,41,1971,10973.56812,717.6,615748.7028241087,7497.79468800372,0.01753819102753684
high,high,1930,65,42,1972,12141.7276,828,623577.4677432801,7828.764919171459,0.02036978016791785
high,high,1930,65,43,1973,13007.55456,1047.6,632348.7474214649,8771.279678184772,0.02722091378819307
high,high,1930,65,44,1974,13869.12252,1306.8,642452.6819310819,10103.934509617044,0.03230132456638029
high,high,1930,65,45,1975,14983.27712,1395.9,652680.5324999376,10227.850568855649,0.03084954026799784
high,high,1930,65,46,1976,16090.98112,1514.7,662948.1248180305,10267.59231809294,0.03174765588871732
high,high,1930,65,47,1977,17104.240560000002,1633.5,673492.0357111238,10543.910893093327,0.03095397700869972
high,high,1930,65,48,1978,18483.60853,1787.7000000000005,683890.4302065783,10398.3944954545,0.03298047520366053
high,high,1930,65,49,1979,20089.055,2041.047988,694644.334099439,10753.903892860631,0.03543201251686215
high,high,1930,65,50,1980,21898.555,2224.893188,705515.6152520673,10871.281152628362,0.03348707495935919
high,high,1930,65,51,1981,24061.605700000004,2574.5918099000005,716299.8201715174,10784.2049194501,0.03732809313543044
high,high,1930,65,52,1982,25255.46892,2727.5906433600003,727080.2790418632,10780.458870345728,0.03315115879320773
high,high,1930,65,53,1983,26318.16748,2842.36208784,737889.5690567947,10809.290014931585,0.0280593317712056
high,high,1930,65,54,1984,27655.50998,3152.72813772,748571.8964095537,10682.327352758964,0.02949609633683439
high,high,1930,65,55,1985,28530.976959999996,3252.5313734399997,758988.8171726486,10416.92076309491,0.02549760168737433
high,high,1930,65,56,1986,28823.508479999997,3285.8799667199996,766036.7414582097,7047.924285561079,0.04998666338873919
high,high,1930,65,57,1987,29961.50525999999,3415.611599639999,769189.7770791746,3153.035620964947,0.08413581907961652
high,high,1930,65,58,1988,30644.4534,3714.107752080001,771728.680851658,2538.903772483347,0.09561952425744964
high,high,1930,65,59,1989,30933.20745,3749.10474294,773740.0157432988,2011.334891640814,0.09937756377972204
high,high,1930,65,60,1990,31079.35444,3853.83995056,775251.5023414178,1511.4865981190233,0.10627419628210172
high,high,1930,65,61,1991,30470.8052,3778.3798447999993,776584.8495173412,1333.347175923409,0.106775100589505
high,high,1930,65,62,1992,30939.881579999997,3836.545315919999,777827.0193202081,1242.169802866876,0.10707420133919889
high,high,1930,65,63,1993,30141.869009999995,3737.591757239999,778902.7283823002,1075.7090620921226,0.10803654528636732
high,high,1930,65,64,1994,29881.94074,3705.360651759999,779915.9334834183,1013.2051011180738,0.10775647531497644
high,high,1935,65,21,1956,1564.83548,62.5934192,738375.0981456783,0,0.04
high,high,1935,65,22,1957,1988.37912,89.4770604,738375.0981456783,0,0.045
high,high,1935,65,23,1958,2564.3124,115.394058,738375.0981456783,0,0.04499999999999999
high,high,1935,65,24,1959,3215.7372,160.78686000000002,738375.0981456783,0,0.05000000000000001
high,high,1935,65,25,1960,3766.6928,226.001568,738375.0981456783,0,0.06
high,high,1935,65,26,1961,4221.62308,253.2973848,738375.0981456783,0,0.06
high,high,1935,65,27,1962,4802.076599999999,300,738375.0981456783,0,0.06247297263021587
high,high,1935,65,28,1963,5267.17472,348,738375.0981456783,0,0.06606957591108731
high,high,1935,65,29,1964,5798.197439999999,348,738375.0981456783,0,0.06001865296949944
high,high,1935,65,30,1965,6191.43888,348,738209.0491385453,-166.04900713299867,0.057279883889174224
high,high,1935,65,31,1966,6839.6286,508.2,738234.1380230347,25.08888448937796,0.07414829577913679
high,high,1935,65,32,1967,7481.2864,514.8,738217.8117374997,-16.32628553500399,0.06890788485964344
high,high,1935,65,33,1968,8240.63304,592.8000000000001,738202.8747280793,-14.9370094203623,0.07202051036543937
high,high,1935,65,34,1969,8952.621439999999,655.2,738197.1272827323,-5.7474453470204026,0.07321709181059198
high,high,1935,65,35,1970,9613.41696,655.2,738216.4487478005,19.321465068263933,0.06804784423798578
high,high,1935,65,36,1971,10291.37472,717.6,738215.0114140817,-1.4373337188735604,0.06973616817321472
high,high,1935,65,37,1972,11485.418,828,738224.644327149,9.63291306735482,0.07204133482897644
high,high,1935,65,38,1973,12385.98144,1047.6,746445.685261781,8221.04093463195,0.04233386366893113
high,high,1935,65,39,1974,13282.87704,1306.8,759043.459641532,12597.774379751065,0.03348964983573375
high,high,1935,65,40,1975,14439.52916,1395.9,771626.4229151675,12582.963273635483,0.03263556418147635
high,high,1935,65,41,1976,15583.52472,1514.7,784295.8261838872,12669.403268719674,0.03321382314516179
high,high,1935,65,42,1977,16644.60688,1633.5,797244.2652462468,12948.439062359626,0.03256751862560207
high,high,1935,65,43,1978,18114.14748,1787.7000000000005,810005.9044880593,12761.639241812518,0.03443789365964255
high,high,1935,65,44,1979,19825.02742,2014.222785872,823256.3318953649,13250.427407305571,0.03509639883530185
high,high,1935,65,45,1980,21723.36656,2207.094042496,836453.4154428284,13197.083547463524,0.03450303327840478
high,high,1935,65,46,1981,24020.2864,2570.1706448000004,849762.2314709127,13308.816028084257,0.03766648768672936
high,high,1935,65,47,1982,25415.313660000003,2744.8538752800005,863268.4123171382,13506.18084622547,0.03298844868523758
high,high,1935,65,48,1983,26683.909239999997,2881.86219792,876679.6159477555,13411.203630617354,0.02925330361058481
high,high,1935,65,49,1984,28236.3725,3218.946465,890061.3229574583,13381.707009702804,0.03053911898500315
high,high,1935,65,50,1985,29439.3925,3356.090745,903459.2794323798,13397.956474921431,0.02519655155333725
high,high,1935,65,51,1986,30261.21954,3449.7790275600005,916758.7638281244,13299.484395744512,0.02138267230726677
high,high,1935,65,52,1987,32025.274379999995,3650.881279319999,930082.2232656984,13323.45943757426,0.01896199878307905
high,high,1935,65,53,1988,33389.88708,4046.854314096001,943332.2244363978,13250.001170699252,0.02257136745453835
high,high,1935,65,54,1989,34450.6287,4175.416198440001,956052.2236871016,12719.999250703724,0.0214480203906314
high,high,1935,65,55,1990,35663.454079999996,4422.268305919999,962140.7442839948,6088.520596893155,0.07391014312325453
high,high,1935,65,56,1991,36294.5024,4500.518297599999,966519.2182952518,4378.474011257174,0.08577327437931127
high,high,1935,65,57,1992,37292.99292,4624.331122079999,970426.7125628632,3907.4942676112983,0.08844131016016334
high,high,1935,65,58,1993,36665.28195,4546.494961799999,973508.1554129156,3081.442850052379,0.09373859319255531
high,high,1935,65,59,1994,36556.682669999995,4533.028651079999,976089.550582528,2581.3951696126023,0.09676877306932614
high,high,1935,65,60,1995,36514.96548,4527.855719519999,978003.4355526288,1913.884970100713,0.10239261855982512
high,high,1935,65,61,1996,36201.7183,4489.013069199999,979612.833361624,1609.397808995098,0.1044634160932238
high,high,1935,65,62,1997,36997.674,4587.711576,981209.6084945666,1596.775132942712,0.10378187164015525
high,high,1935,65,63,1998,37606.45632,4663.200583679999,982994.5138269973,1784.905332430615,0.10052052922295047
high,high,1935,65,64,1999,38331.05872,4753.05128128,984611.8953866552,1617.381559658097,0.10189486552503328
high,high,1940,65,21,1961,1810.43468,108.6260808,898511.0717614336,0,0.06
high,high,1940,65,22,1962,2343.1044,146.444025,898511.0717614336,0,0.0625
high,high,1940,65,23,1963,3068.85472,222.4919672,898511.0717614336,0,0.0725
high,high,1940,65,24,1964,3816.65088,276.7071888,898511.0717614336,0,0.07250000000000001
high,high,1940,65,25,1965,4379.1968,317.491768,898511.0717614336,0,0.0725
high,high,1940,65,26,1966,5101.325879999999,392.80209275999994,898511.0717614336,0,0.077
high,high,1940,65,27,1967,5833.83936,455.03947008,898511.0717614336,0,0.078
high,high,1940,65,28,1968,6674.9684800000005,507.29760448000013,898511.0717614336,0,0.07600000000000001
high,high,1940,65,29,1969,7467.39392,627.26108928,898511.0717614336,0,0.084
high,high,1940,65,30,1970,8221.51296,655.2,900253.0677223017,1741.9959608680801,0.06957986568992622
high,high,1940,65,31,1971,8998.4558,717.6,900326.6781533761,73.61043107439764,0.0793331278831271
high,high,1940,65,32,1972,10237.003,828,900421.2223621509,94.5442087748088,0.08038820180672007
high,high,1940,65,33,1973,11211.05664,1047.6,900552.4254743326,131.20311218174174,0.09277502680101848
high,high,1940,65,34,1974,12198.72444,1207.67371956,900734.5080806956,182.08260636299383,0.09808351067862688
high,high,1940,65,35,1975,13412.44968,1327.83251832,900817.9701202484,83.46203955274541,0.09858964612969548
high,high,1940,65,36,1976,14614.74432,1446.85968768,900969.172814642,151.202694393578,0.09826930618580686
high,high,1940,65,37,1977,15744.898400000002,1558.7449416000002,910510.9561092098,9541.783294567838,0.05315982421724561
high,high,1940,65,38,1978,17248.55302,1742.1038550200003,925687.2298327624,15176.27372355247,0.02898941584347488
high,high,1940,65,39,1979,18987.02684,1929.081926944,940986.2554686236,15299.02563586121,0.0296525494957032
high,high,1940,65,40,1980,20935.01858,2126.997887728,956499.0334463124,15512.777977688937,0.0281574400467123
high,high,1940,65,41,1981,23262.7659,2489.1159513000007,972064.2040354804,15565.17058916809,0.03186297006196643
high,high,1940,65,42,1982,24732.34068,2671.0927934400006,987779.1361119818,15714.93207650131,0.0275144572242609
high,high,1940,65,43,1983,26150.53584,2824.2578707200005,1003799.1245957687,16019.988483787049,0.02186588870894993
high,high,1940,65,44,1984,27865.26589,3176.64031146,1019722.4529275676,15923.32833179878,0.02369110303309188
high,high,1940,65,45,1985,29203.87736,3329.24201904,1035835.329518382,16112.87659081444,0.01738774800948036
high,high,1940,65,46,1986,30209.25408,3443.85496512,1051813.031628107,15977.702109724863,0.01397749784296077
high,high,1940,65,47,1987,32227.96599,3673.98812286,1068038.2636701511,16225.232042044168,0.01079263324768762
high,high,1940,65,48,1988,33853.90404,4103.093169648001,1084233.0537475816,16194.790077430427,0.01450400000619036
