worker_type,spouse_type,birth_yr,claim_age,age,year,earnings,tax,pv_ben_through_t_sched,delta_pv_ben_sched,net_tax_sched,pv_ben_through_t_pb,delta_pv_ben_pb,net_tax_pb
high,high,1930,65,21,1951,1240.0278799999999,37.20083639999999,389957.96674170916,0,0.03,389957.96674170916,0,0.03
high,high,1930,65,22,1952,1623.4327200000002,48.70298160000001,389957.96674170916,0,0.03,389957.96674170916,0,0.03
high,high,1930,65,23,1953,2191.32912,65.7398736,389957.96674170916,0,0.03,389957.96674170916,0,0.03
high,high,1930,65,24,1954,2631.80376,105.27215039999999,389957.96674170916,0,0.039999999999999994,389957.96674170916,0,0.039999999999999994
high,high,1930,65,25,1955,3103.3536,124.134144,389957.96674170916,0,0.04000000000000001,389957.96674170916,0,0.04000000000000001
high,high,1930,65,26,1956,3648.9278799999997,145.9571152,389957.96674170916,0,0.04,389957.96674170916,0,0.04
high,high,1930,65,27,1957,4075.08468,183.37881059999998,389957.96674170916,0,0.045,389957.96674170916,0,0.045
high,high,1930,65,28,1958,4401.2124,189,389957.96674170916,0,0.04294271278523163,389957.96674170916,0,0.04294271278523163
high,high,1930,65,29,1959,4885.2986,240,389957.96674170916,0,0.0491269868335172,389957.96674170916,0,0.0491269868335172
high,high,1930,65,30,1960,5325.46248,288,533463.0529691507,143505.08622744156,-1.0480365544029988,533463.0529691507,143505.08622744156,-1.0480365544029988
high,high,1930,65,31,1961,5660.162600000001,288,540875.5837450767,7412.5307759259595,-0.004715207296277459,540875.5837450767,7412.5307759259595,-0.004715207296277459
high,high,1930,65,32,1962,6158.159,300,547772.0156774452,6896.431932368549,-6.815247106395804e-4,547772.0156774452,6896.431932368549,-6.815247106395804e-4
high,high,1930,65,33,1963,6502.6305600000005,348,554573.9914837875,6801.975806342321,0.005577476046740867,554573.9914837875,6801.975806342321,0.005577476046740867
high,high,1930,65,34,1964,6951.430079999999,348,560938.933225921,6364.941742133466,0.006378191076687807,560938.933225921,6364.941742133466,0.006378191076687807
high,high,1930,65,35,1965,7239.650880000001,348,567392.3201705358,6453.3869446148165,0.0037552778850519926,567392.3201705358,6453.3869446148165,0.0037552778850519926
high,high,1930,65,36,1966,7822.3622399999995,508.2,575776.5487927768,8384.228622240946,0.009073603718761428,575776.5487927768,8384.228622240946,0.009073603718761428
high,high,1930,65,37,1967,8393.6384,514.8,583616.9580960874,7840.4093033106765,0.01018545997944473,583616.9580960874,7840.4093033106765,0.01018545997944473
high,high,1930,65,38,1968,9104.25584,592.8000000000001,592234.6734278811,8617.715331793646,0.010432303086488093,592234.6734278811,8617.715331793646,0.010432303086488093
high,high,1930,65,39,1969,9748.27904,655.2,600404.1789942598,8169.505566378706,0.015605096681485821,600404.1789942598,8169.505566378706,0.015605096681485821
high,high,1930,65,40,1970,10349.57952,655.2,608250.9081361049,7846.729141845135,0.01321075074265048,608250.9081361049,7846.729141845135,0.01321075074265048
high,high,1930,65,41,1971,10973.56812,717.6,615748.7028241087,7497.79468800372,0.017538191027536842,615748.7028241087,7497.79468800372,0.017538191027536842
high,high,1930,65,42,1972,12141.7276,828,623577.4677432801,7828.764919171459,0.020369780167917854,623577.4677432801,7828.764919171459,0.020369780167917854
high,high,1930,65,43,1973,13007.554559999999,1047.6,632348.7474214649,8771.279678184772,0.027220913788193073,632348.7474214649,8771.279678184772,0.027220913788193073
high,high,1930,65,44,1974,13869.12252,1306.8,642452.6819310819,10103.934509617044,0.03230132456638029,642452.6819310819,10103.934509617044,0.03230132456638029
high,high,1930,65,45,1975,14983.27712,1395.9,652680.5324999376,10227.850568855647,0.03084954026799784,652680.5324999376,10227.850568855647,0.03084954026799784
high,high,1930,65,46,1976,16090.981119999999,1514.7,662948.1248180305,10267.592318092939,0.03174765588871732,662948.1248180305,10267.592318092939,0.03174765588871732
high,high,1930,65,47,1977,17104.240560000002,1633.5,673492.0357111238,10543.910893093329,0.03095397700869972,673492.0357111238,10543.910893093329,0.03095397700869972
high,high,1930,65,48,1978,18483.60853,1787.7000000000003,683890.4302065783,10398.3944954545,0.03298047520366053,683890.4302065783,10398.3944954545,0.03298047520366053
high,high,1930,65,49,1979,20089.055,2041.047988,694644.334099439,10753.903892860631,0.035432012516862156,694644.334099439,10753.903892860631,0.035432012516862156
high,high,1930,65,50,1980,21898.555,2224.893188,705515.6152520673,10871.281152628362,0.03348707495935919,705515.6152520673,10871.281152628362,0.03348707495935919
high,high,1930,65,51,1981,24061.605700000004,2574.5918099000005,716299.8201715174,10784.204919450101,0.03732809313543044,716299.8201715174,10784.204919450101,0.03732809313543044
high,high,1930,65,52,1982,25255.46892,2727.5906433600003,727080.2790418632,10780.458870345727,0.03315115879320773,727080.2790418632,10780.458870345727,0.03315115879320773
high,high,1930,65,53,1983,26318.16748,2842.36208784,737889.5690567947,10809.290014931583,0.0280593317712056,737889.5690567947,10809.290014931583,0.0280593317712056
high,high,1930,65,54,1984,27655.50998,3152.72813772,748571.8964095537,10682.327352758963,0.02949609633683439,748571.8964095537,10682.327352758963,0.02949609633683439
high,high,1930,65,55,1985,28530.976959999996,3252.5313734399997,758988.8171726486,10416.92076309491,0.025497601687374333,758988.8171726486,10416.92076309491,0.025497601687374333
high,high,1930,65,56,1986,28823.508479999997,3285.8799667199996,766036.7414582097,7047.924285561079,0.04998666338873919,766036.7414582097,7047.924285561079,0.04998666338873919
