worker_type,spouse_type,birth_yr,claim_age,death_age,pv_taxes_pb,pv_ben_pb,ben_tax_ratio_pb
high,high,1930,65,83,435792.08025713166,389957.96674170916,0.894825730911909
high,max,1930,65,83,484524.9757597066,408694.92779220105,0.8434961007972633
high,none,1930,65,83,435792.08025713166,389957.96674170916,0.894825730911909
low,high,1930,65,83,284847.06653860677,292372.70368814014,1.0264199215424021
low,low,1930,65,83,133902.05282008188,184944.75161725836,1.3811942962947719
low,max,1930,65,83,333579.9620411816,320467.8083345096,0.96069262186362
low,medium,1930,65,83,215742.7252999453,245128.40693372252,1.1362070567752518
low,none,1930,65,83,133902.05282008188,184944.75161725836,1.3811942962947719
max,max,1930,65,83,533257.8712622814,427431.888842693,0.8015482037441165
max,none,1930,65,83,533257.8712622814,427431.888842693,0.8015482037441165
medium,high,1930,65,83,366687.73901847017,347635.0144959479,0.9480410101152508
medium,max,1930,65,83,415420.6345210451,366371.9755464399,0.8819301332223053
medium,medium,1930,65,83,297583.3977798087,305312.0622501867,1.025971423567442
medium,none,1930,65,83,297583.3977798087,305312.0622501867,1.025971423567442
very_low,high,1930,65,83,255084.1417197714,292371.4596490762,1.146176542680837
very_low,low,1930,65,83,104139.12800124651,163055.93568478728,1.565750922005373
very_low,max,1930,65,83,303817.0372223463,320471.191400978,1.0548163932177494
very_low,medium,1930,65,83,185979.80048110994,228870.75458748027,1.2306215728558478
very_low,none,1930,65,83,74376.20318241113,141167.11975231624,1.8980146029516625
very_low,very_low,1930,65,83,74376.20318241113,141167.11975231624,1.8980146029516625
high,high,1935,65,84,580086.5905547764,492305.9476933277,0.8486766557084209
high,max,1935,65,84,653686.3079912562,521172.2923089035,0.7972819469179928
high,none,1935,65,84,580086.5905547764,492305.9476933277,0.8486766557084209
low,high,1935,65,84,375093.009802386,369107.5036409391,0.9840426080864575
low,low,1935,65,84,170099.4290499956,228864.83938835762,1.3454768229768113
low,max,1935,65,84,448692.72723886586,412393.596919923,0.9191002480866629
low,medium,1935,65,84,274059.876297093,303473.78840199654,1.1073265904601721
low,none,1935,65,84,170099.4290499956,228864.83938835762,1.3454768229768113
max,max,1935,65,84,727286.0254277361,550038.6369244793,0.7562892970492414
max,none,1935,65,84,727286.0254277361,550038.6369244793,0.7562892970492414
medium,high,1935,65,84,479053.45704948343,435194.3425544816,0.9084463041658596
medium,max,1935,65,84,552653.1744859633,464060.6871700573,0.8396960491572167
medium,medium,1935,65,84,378020.32354419044,378082.73741563543,1.0001651071848725
medium,none,1935,65,84,378020.32354419044,378082.73741563543,1.0001651071848725
very_low,high,1935,65,84,337280.9996499025,369123.89362693916,1.0944105775602229
very_low,low,1935,65,84,132287.41889751214,201795.18276629614,1.5254298893127107
very_low,max,1935,65,84,410880.7170863824,412441.34873537824,1.0037982596507875
very_low,medium,1935,65,84,236247.86614460955,283471.1742605189,1.1998888239143017
very_low,none,1935,65,84,94475.40874502865,174725.5261442347,1.8494286340246064
